mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
17.5,8,305.0,140.0,4215,13.0,76,1,17.5,23.046188354492188
20.0,6,232.0,100.0,2914,16.0,75,1,20.0,20.280792236328125
25.0,4,97.5,80.0,2126,17.0,72,1,25.0,22.826171875
18.0,6,250.0,88.0,3139,14.5,71,1,18.0,21.032791137695312
39.0,4,86.0,64.0,1875,16.4,81,1,39.0,24.796920776367188
26.0,4,97.0,75.0,2265,18.2,77,3,26.0,25.846099853515625
19.2,6,231.0,105.0,3535,19.2,78,1,19.200000762939453,25.886734008789062
24.0,4,107.0,90.0,2430,14.5,70,2,24.0,23.289413452148438
28.0,4,151.0,90.0,2678,16.5,80,1,28.0,25.096542358398438
17.0,6,231.0,110.0,3907,21.0,75,1,17.0,27.948959350585938
21.6,4,121.0,115.0,2795,15.7,78,2,21.600000381469727,25.210586547851562
22.0,6,225.0,100.0,3233,15.4,76,1,22.0,23.414474487304688
31.9,4,89.0,71.0,1925,14.0,79,2,31.899999618530273,23.855911254882812
39.1,4,79.0,58.0,1755,16.9,81,3,39.099998474121094,25.000350952148438
19.4,6,232.0,90.0,3210,17.2,78,1,19.399999618530273,24.300430297851562
33.5,4,151.0,90.0,2556,13.2,79,1,33.5,23.574844360351562
24.0,4,120.0,97.0,2489,15.0,74,3,24.0,23.475265502929688
26.0,4,122.0,80.0,2451,16.5,74,1,26.0,24.435272216796875
31.0,4,79.0,67.0,2000,16.0,74,2,31.0,24.438629150390625
28.1,4,141.0,80.0,3230,20.4,81,2,28.100000381469727,31.660385131835938
18.0,6,232.0,100.0,2945,16.0,73,1,18.0,20.079818725585938
27.0,4,151.0,90.0,2735,18.0,82,1,27.0,26.148483276367188
13.0,8,350.0,145.0,3988,13.0,73,1,13.0,17.538986206054688
40.9,4,85.0,93.5,1835,17.3,80,2,40.900001525878906,21.99029541015625
13.0,8,302.0,130.0,3870,15.0,76,1,13.0,21.486526489257812
15.0,8,318.0,150.0,3399,11.0,73,1,15.0,14.023970603942871
31.0,4,119.0,82.0,2720,19.4,82,1,31.0,28.678176879882812
25.0,4,110.0,87.0,2672,17.5,70,2,25.0,25.6048583984375
16.0,8,318.0,150.0,4190,13.0,76,1,16.0,21.249160766601562
19.0,3,70.0,97.0,2330,13.5,72,3,19.0,24.49310302734375
12.0,8,350.0,180.0,4499,12.5,73,1,12.0,18.623519897460938
21.1,4,134.0,95.0,2515,14.8,78,3,21.100000381469727,23.932296752929688
37.7,4,89.0,62.0,2050,17.3,81,3,37.70000076293945,26.496231079101562
26.0,4,97.0,46.0,1950,21.0,73,2,26.0,25.042633056640625
